Domain, Ia, Ea
9.46425,0.001099861,0.011036953
9.4643,0.001093787,0.011064677
9.46435,0.001087703,0.011092292
9.4644,0.001081607,0.011119798
9.46445,0.001075501,0.011147194
9.4645,0.001069385,0.011174479
9.46455,0.001063257,0.011201655
9.4646,0.00105712,0.01122872
9.46465,0.001050972,0.011255674
9.4647,0.001044813,0.011282517
9.46475,0.001038644,0.011309249
9.4648,0.001032465,0.011335869
9.46485,0.001026276,0.011362377
9.4649,0.001020077,0.011388773
9.46495,0.001013867,0.011415057
9.465,0.001007648,0.011441228
9.46505,0.001001418,0.011467286
9.4651,0.000995179,0.011493231
9.46515,0.00098893,0.011519063
9.4652,0.000982671,0.01154478
9.46525,0.000976403,0.011570384
9.4653,0.000970124,0.011595874
9.46535,0.000963837,0.011621249
9.4654,0.000957539,0.01164651
9.46545,0.000951233,0.011671655
9.4655,0.000944916,0.011696686
9.46555,0.000938591,0.011721601
9.4656,0.000932256,0.0117464
9.46565,0.000925912,0.011771083
9.4657,0.000919559,0.01179565
9.46575,0.000913197,0.011820101
9.4658,0.000906826,0.011844435
9.46585,0.000900446,0.011868652
9.4659,0.000894057,0.011892752
9.46595,0.000887659,0.011916735
9.466,0.000881253,0.0119406
9.46605,0.000874837,0.011964347
9.4661,0.000868413,0.011987976
9.46615,0.000861981,0.012011487
9.4662,0.00085554,0.012034879
9.46625,0.000849091,0.012058153
9.4663,0.000842633,0.012081307
9.46635,0.000836167,0.012104343
9.4664,0.000829692,0.012127258
9.46645,0.00082321,0.012150054
9.4665,0.000816719,0.01217273
9.46655,0.00081022,0.012195286
9.4666,0.000803714,0.012217722
9.46665,0.000797199,0.012240037
9.4667,0.000790676,0.012262231
9.46675,0.000784146,0.012284305
9.4668,0.000777608,0.012306257
9.46685,0.000771062,0.012328087
9.4669,0.000764509,0.012349796
9.46695,0.000757948,0.012371383
9.467,0.000751379,0.012392848
9.46705,0.000744804,0.01241419
9.4671,0.000738221,0.012435411
9.46715,0.00073163,0.012456508
9.4672,0.000725032,0.012477482
9.46725,0.000718428,0.012498333
9.4673,0.000711816,0.012519061
9.46735,0.000705197,0.012539666
9.4674,0.000698571,0.012560146
9.46745,0.000691938,0.012580503
9.4675,0.000685298,0.012600735
9.46755,0.000678652,0.012620843
9.4676,0.000671999,0.012640827
9.46765,0.000665339,0.012660685
9.4677,0.000658673,0.012680419
9.46775,0.000652,0.012700028
9.4678,0.000645321,0.012719511
9.46785,0.000638635,0.012738869
9.4679,0.000631943,0.012758101
9.46795,0.000625245,0.012777207
9.468,0.000618541,0.012796187
9.46805,0.000611831,0.012815041
9.4681,0.000605114,0.012833768
9.46815,0.000598392,0.012852368
9.4682,0.000591663,0.012870842
9.46825,0.000584929,0.012889189
9.4683,0.000578189,0.012907408
9.46835,0.000571444,0.0129255
9.4684,0.000564692,0.012943465
9.46845,0.000557936,0.012961302
9.4685,0.000551173,0.01297901
9.46855,0.000544405,0.012996591
9.4686,0.000537632,0.013014044
9.46865,0.000530854,0.013031368
9.4687,0.00052407,0.013048563
9.46875,0.000517281,0.01306563
9.4688,0.000510487,0.013082567
9.46885,0.000503688,0.013099376
9.4689,0.000496884,0.013116055
9.46895,0.000490075,0.013132605
9.469,0.000483261,0.013149025
9.46905,0.000476443,0.013165316
9.4691,0.00046962,0.013181476
9.46915,0.000462792,0.013197506
9.4692,0.000455959,0.013213407
9.46925,0.000449123,0.013229176
9.4693,0.000442281,0.013244816
9.46935,0.000435435,0.013260324
9.4694,0.000428585,0.013275702
9.46945,0.000421731,0.013290948
9.4695,0.000414873,0.013306063
9.46955,0.00040801,0.013321047
9.4696,0.000401144,0.0133359
9.46965,0.000394273,0.013350621
9.4697,0.000387399,0.01336521
9.46975,0.000380521,0.013379667
9.4698,0.000373639,0.013393993
9.46985,0.000366753,0.013408186
9.4699,0.000359864,0.013422246
9.46995,0.000352971,0.013436175
9.47,0.000346075,0.01344997
9.47005,0.000339175,0.013463633
9.4701,0.000332272,0.013477163
9.47015,0.000325366,0.01349056
9.4702,0.000318456,0.013503824
9.47025,0.000311543,0.013516954
9.4703,0.000304628,0.013529952
9.47035,0.000297709,0.013542815
9.4704,0.000290787,0.013555545
9.47045,0.000283862,0.013568141
9.4705,0.000276935,0.013580604
9.47055,0.000270005,0.013592932
9.4706,0.000263072,0.013605126
9.47065,0.000256137,0.013617186
9.4707,0.000249199,0.013629111
9.47075,0.000242258,0.013640902
9.4708,0.000235316,0.013652558
9.47085,0.000228371,0.01366408
9.4709,0.000221423,0.013675466
9.47095,0.000214474,0.013686718
9.471,0.000207522,0.013697834
9.47105,0.000200568,0.013708816
9.4711,0.000193613,0.013719662
9.47115,0.000186655,0.013730373
9.4712,0.000179696,0.013740948
9.47125,0.000172735,0.013751387
9.4713,0.000165772,0.013761691
9.47135,0.000158807,0.013771859
9.4714,0.000151841,0.013781891
9.47145,0.000144873,0.013791787
9.4715,0.000137904,0.013801547
9.47155,0.000130934,0.013811171
9.4716,0.000123962,0.013820658
9.47165,0.000116989,0.013830009
9.4717,0.000110015,0.013839224
9.47175,0.00010304,0.013848302
9.4718,9.61E-05,0.013857243
9.47185,8.91E-05,0.013866048
9.4719,8.21E-05,0.013874715
9.47195,7.51E-05,0.013883246
9.472,6.82E-05,0.01389164
9.47205,6.12E-05,0.013899896
9.4721,5.42E-05,0.013908015
9.47215,4.72E-05,0.013915998
9.4722,4.02E-05,0.013923842
9.47225,3.32E-05,0.01393155
9.4723,2.63E-05,0.01393912
9.47235,1.93E-05,0.013946552
9.4724,1.23E-05,0.013953846
9.47245,5.31E-06,0.013961003
9.4725,-1.67E-06,0.013968022
9.47255,-8.65E-06,0.013974904
9.4726,-1.56E-05,0.013981647
9.47265,-2.26E-05,0.013988252
9.4727,-2.96E-05,0.01399472
9.47275,-3.66E-05,0.014001049
9.4728,-4.36E-05,0.01400724
9.47285,-5.05E-05,0.014013293
9.4729,-5.75E-05,0.014019207
9.47295,-6.45E-05,0.014024983
9.473,-7.15E-05,0.014030621
9.47305,-7.85E-05,0.01403612
9.4731,-8.54E-05,0.01404148
9.47315,-9.24E-05,0.014046702
9.4732,-9.94E-05,0.014051786
9.47325,-0.000106378,0.014056731
9.4733,-0.000113352,0.014061537
9.47335,-0.000120326,0.014066204
9.4734,-0.000127298,0.014070732
9.47345,-0.000134269,0.014075122
9.4735,-0.000141239,0.014079372
9.47355,-0.000148207,0.014083484
9.4736,-0.000155174,0.014087457
9.47365,-0.000162139,0.01409129
9.4737,-0.000169103,0.014094985
9.47375,-0.000176065,0.01409854
9.4738,-0.000183026,0.014101956
9.47385,-0.000189984,0.014105233
9.4739,-0.000196941,0.014108371
9.47395,-0.000203896,0.01411137
9.474,-0.000210848,0.014114229
9.47405,-0.000217799,0.014116949
9.4741,-0.000224747,0.01411953
9.47415,-0.000231694,0.014121971
9.4742,-0.000238638,0.014124273
9.47425,-0.000245579,0.014126436
9.4743,-0.000252519,0.014128459
9.47435,-0.000259455,0.014130343
9.4744,-0.000266389,0.014132087
9.47445,-0.000273321,0.014133692
9.4745,-0.00028025,0.014135157
9.47455,-0.000287176,0.014136483
9.4746,-0.000294099,0.014137669
9.47465,-0.000301019,0.014138716
9.4747,-0.000307937,0.014139623
9.47475,-0.000314851,0.014140391
9.4748,-0.000321762,0.014141019
9.47485,-0.00032867,0.014141508
9.4749,-0.000335575,0.014141856
9.47495,-0.000342476,0.014142066
9.475,-0.000349375,0.014142136
9.47505,-0.000356269,0.014142066
9.4751,-0.00036316,0.014141856
9.47515,-0.000370048,0.014141508
9.4752,-0.000376932,0.014141019
9.47525,-0.000383812,0.014140391
9.4753,-0.000390688,0.014139623
9.47535,-0.000397561,0.014138716
9.4754,-0.000404429,0.014137669
9.47545,-0.000411294,0.014136483
9.4755,-0.000418155,0.014135157
9.47555,-0.000425011,0.014133692
9.4756,-0.000431863,0.014132087
9.47565,-0.000438711,0.014130343
9.4757,-0.000445555,0.014128459
9.47575,-0.000452394,0.014126436
9.4758,-0.000459229,0.014124273
9.47585,-0.000466059,0.014121971
9.4759,-0.000472885,0.01411953
9.47595,-0.000479706,0.014116949
9.476,-0.000486522,0.014114229
9.47605,-0.000493333,0.01411137
9.4761,-0.00050014,0.014108371
9.47615,-0.000506942,0.014105233
9.4762,-0.000513738,0.014101956
9.47625,-0.00052053,0.01409854
9.4763,-0.000527316,0.014094985
9.47635,-0.000534097,0.01409129
9.4764,-0.000540873,0.014087457
9.47645,-0.000547644,0.014083484
9.4765,-0.000554409,0.014079372
9.47655,-0.000561169,0.014075122
9.4766,-0.000567923,0.014070732
9.47665,-0.000574672,0.014066204
9.4767,-0.000581415,0.014061537
9.47675,-0.000588152,0.014056731
9.4768,-0.000594883,0.014051786
9.47685,-0.000601609,0.014046702
9.4769,-0.000608328,0.01404148
9.47695,-0.000615042,0.01403612
9.477,-0.000621749,0.014030621
9.47705,-0.000628451,0.014024983
9.4771,-0.000635146,0.014019207
9.47715,-0.000641835,0.014013293
9.4772,-0.000648517,0.01400724
9.47725,-0.000655193,0.014001049
9.4773,-0.000661863,0.01399472
9.47735,-0.000668526,0.013988252
9.4774,-0.000675183,0.013981647
9.47745,-0.000681833,0.013974904
9.4775,-0.000688476,0.013968022
9.47755,-0.000695112,0.013961003
9.4776,-0.000701742,0.013953846
9.47765,-0.000708364,0.013946552
9.4777,-0.00071498,0.01393912
9.47775,-0.000721588,0.01393155
9.4778,-0.00072819,0.013923842
9.47785,-0.000734784,0.013915998
9.4779,-0.000741371,0.013908015
9.47795,-0.000747951,0.013899896
9.478,-0.000754523,0.01389164
9.47805,-0.000761088,0.013883246
9.4781,-0.000767645,0.013874715
9.47815,-0.000774195,0.013866048
9.4782,-0.000780737,0.013857243
9.47825,-0.000787271,0.013848302
9.4783,-0.000793798,0.013839224
9.47835,-0.000800317,0.013830009
9.4784,-0.000806828,0.013820658
9.47845,-0.000813331,0.013811171
9.4785,-0.000819825,0.013801547
9.47855,-0.000826312,0.013791787
9.4786,-0.000832791,0.013781891
9.47865,-0.000839261,0.013771859
9.4787,-0.000845723,0.013761691
9.47875,-0.000852177,0.013751387
9.4788,-0.000858623,0.013740948
9.47885,-0.00086506,0.013730373
9.4789,-0.000871488,0.013719662
9.47895,-0.000877908,0.013708816
9.479,-0.000884319,0.013697834
9.47905,-0.000890721,0.013686718
9.4791,-0.000897115,0.013675466
9.47915,-0.0009035,0.01366408
9.4792,-0.000909875,0.013652558
9.47925,-0.000916242,0.013640902
9.4793,-0.0009226,0.013629111
9.47935,-0.000928949,0.013617186
9.4794,-0.000935288,0.013605126
9.47945,-0.000941618,0.013592932
9.4795,-0.000947939,0.013580604
9.47955,-0.000954251,0.013568141
9.4796,-0.000960553,0.013555545
9.47965,-0.000966846,0.013542815
9.4797,-0.000973129,0.013529952
9.47975,-0.000979403,0.013516954
9.4798,-0.000985667,0.013503824
9.47985,-0.000991921,0.01349056
9.4799,-0.000998165,0.013477163
9.47995,-0.0010044,0.013463633
9.48,-0.001010625,0.01344997
9.48005,-0.001016839,0.013436175
9.4801,-0.001023044,0.013422246
