Domain, Ia, Ea
0.0197,0.000431452,-0.003442715
0.01975,0.000432952,-0.003423787
0.0198,0.000434443,-0.003404583
0.01985,0.000435922,-0.003385104
0.0199,0.000437392,-0.00336535
0.01995,0.00043885,-0.00334532
0.02,0.000440298,-0.003325016
0.02005,0.000441735,-0.003304436
0.0201,0.000443161,-0.003283581
0.02015,0.000444575,-0.003262451
0.0202,0.000445979,-0.003241047
0.02025,0.00044737,-0.003219369
0.0203,0.000448751,-0.003197417
0.02035,0.000450119,-0.00317519
0.0204,0.000451476,-0.003152691
0.02045,0.00045282,-0.003129918
0.0205,0.000454153,-0.003106871
0.02055,0.000455473,-0.003083553
0.0206,0.000456781,-0.003059961
0.02065,0.000458076,-0.003036098
0.0207,0.000459359,-0.003011963
0.02075,0.000460629,-0.002987557
0.0208,0.000461886,-0.00296288
0.02085,0.00046313,-0.002937932
0.0209,0.00046436,-0.002912715
0.02095,0.000465578,-0.002887227
0.021,0.000466782,-0.002861471
0.02105,0.000467973,-0.002835446
0.0211,0.000469149,-0.002809152
0.02115,0.000470312,-0.002782591
0.0212,0.000471462,-0.002755763
0.02125,0.000472597,-0.002728668
0.0213,0.000473718,-0.002701307
0.02135,0.000474824,-0.002673681
0.0214,0.000475916,-0.002645789
0.02145,0.000476994,-0.002617634
0.0215,0.000478057,-0.002589214
0.02155,0.000479105,-0.002560532
0.0216,0.000480138,-0.002531587
0.02165,0.000481157,-0.002502381
0.0217,0.00048216,-0.002472914
0.02175,0.000483147,-0.002443186
0.0218,0.00048412,-0.002413199
0.02185,0.000485076,-0.002382953
0.0219,0.000486017,-0.002352449
0.02195,0.000486943,-0.002321687
0.022,0.000487852,-0.00229067
0.02205,0.000488746,-0.002259396
0.0221,0.000489623,-0.002227868
0.02215,0.000490484,-0.002196086
0.0222,0.000491328,-0.00216405
0.02225,0.000492156,-0.002131763
0.0223,0.000492968,-0.002099223
0.02235,0.000493763,-0.002066434
0.0224,0.000494541,-0.002033395
0.02245,0.000495301,-0.002000107
0.0225,0.000496045,-0.001966572
0.02255,0.000496772,-0.00193279
0.0226,0.000497481,-0.001898763
0.02265,0.000498173,-0.00186449
0.0227,0.000498848,-0.001829975
0.02275,0.000499504,-0.001795216
0.0228,0.000500143,-0.001760216
0.02285,0.000500764,-0.001724976
0.0229,0.000501367,-0.001689496
0.02295,0.000501952,-0.001653778
0.023,0.000502519,-0.001617823
0.02305,0.000503068,-0.001581632
0.0231,0.000503598,-0.001545206
0.02315,0.000504109,-0.001508546
0.0232,0.000504602,-0.001471654
0.02325,0.000505076,-0.00143453
0.0233,0.000505532,-0.001397177
0.02335,0.000505968,-0.001359594
0.0234,0.000506385,-0.001321784
0.02345,0.000506783,-0.001283748
0.0235,0.000507162,-0.001245487
0.02355,0.000507522,-0.001207002
0.0236,0.000507862,-0.001168294
0.02365,0.000508182,-0.001129366
0.0237,0.000508483,-0.001090217
0.02375,0.000508764,-0.001050851
0.0238,0.000509025,-0.001011267
0.02385,0.000509266,-0.000971468
0.0239,0.000509487,-0.000931454
0.02395,0.000509688,-0.000891228
0.024,0.000509868,-0.00085079
0.02405,0.000510029,-0.000810143
0.0241,0.000510168,-0.000769287
0.02415,0.000510288,-0.000728224
0.0242,0.000510386,-0.000686955
0.02425,0.000510464,-0.000645483
0.0243,0.000510521,-0.000603808
0.02435,0.000510558,-0.000561932
0.0244,0.000510573,-0.000519858
0.02445,0.000510567,-0.000477585
0.0245,0.00051054,-0.000435116
0.02455,0.000510491,-0.000392453
0.0246,0.000510422,-0.000349596
0.02465,0.00051033,-0.000306549
0.0247,0.000510218,-0.000263312
0.02475,0.000510084,-0.000219887
0.0248,0.000509928,-0.000176275
0.02485,0.00050975,-0.000132479
0.0249,0.00050955,-8.85E-05
0.02495,0.000509329,-4.43E-05
0.025,0.000509085,7.06E-16
0.02505,0.00050882,4.45E-05
0.0251,0.000508532,8.92E-05
0.02515,0.000508222,0.000134078
0.0252,0.00050789,0.000179118
0.02525,0.000507535,0.000224329
0.0253,0.000507158,0.000269708
0.02535,0.000506758,0.000315254
0.0254,0.000506336,0.000360965
0.02545,0.000505891,0.00040684
0.0255,0.000505423,0.000452876
0.02555,0.000504932,0.000499071
0.0256,0.000504419,0.000545424
0.02565,0.000503882,0.000591933
0.0257,0.000503323,0.000638595
0.02575,0.000502741,0.00068541
0.0258,0.000502135,0.000732374
0.02585,0.000501506,0.000779486
0.0259,0.000500854,0.000826744
0.02595,0.000500178,0.000874146
0.026,0.00049948,0.000921689
0.02605,0.000498757,0.000969373
0.0261,0.000498011,0.001017195
0.02615,0.000497242,0.001065152
0.0262,0.000496449,0.001113244
0.02625,0.000495632,0.001161467
0.0263,0.000494792,0.001209819
0.02635,0.000493928,0.0012583
0.0264,0.00049304,0.001306906
0.02645,0.000492128,0.001355635
0.0265,0.000491192,0.001404485
0.02655,0.000490232,0.001453455
0.0266,0.000489248,0.001502541
0.02665,0.00048824,0.001551743
0.0267,0.000487208,0.001601057
0.02675,0.000486152,0.001650481
0.0268,0.000485071,0.001700014
0.02685,0.000483967,0.001749653
0.0269,0.000482838,0.001799395
0.02695,0.000481685,0.00184924
0.027,0.000480507,0.001899183
0.02705,0.000479305,0.001949224
0.0271,0.000478078,0.00199936
0.02715,0.000476827,0.002049588
0.0272,0.000475552,0.002099907
0.02725,0.000474252,0.002150314
0.0273,0.000472927,0.002200806
0.02735,0.000471578,0.002251382
0.0274,0.000470204,0.00230204
0.02745,0.000468806,0.002352776
0.0275,0.000467383,0.002403588
0.02755,0.000465935,0.002454475
0.0276,0.000464462,0.002505433
0.02765,0.000462965,0.002556461
0.0277,0.000461443,0.002607556
0.02775,0.000459896,0.002658715
0.0278,0.000458324,0.002709937
0.02785,0.000456728,0.002761218
0.0279,0.000455106,0.002812557
0.02795,0.00045346,0.002863951
0.028,0.000451789,0.002915398
0.02805,0.000450093,0.002966894
0.0281,0.000448372,0.003018439
0.02815,0.000446626,0.003070028
0.0282,0.000444855,0.003121661
0.02825,0.00044306,0.003173333
0.0283,0.000441239,0.003225044
0.02835,0.000439393,0.00327679
0.0284,0.000437523,0.003328568
0.02845,0.000435627,0.003380377
0.0285,0.000433707,0.003432214
0.02855,0.000431761,0.003484076
0.0286,0.000429791,0.003535961
0.02865,0.000427796,0.003587866
0.0287,0.000425775,0.003639789
0.02875,0.00042373,0.003691727
0.0288,0.00042166,0.003743678
0.02885,0.000419565,0.003795638
0.0289,0.000417445,0.003847607
0.02895,0.0004153,0.00389958
0.029,0.00041313,0.003951555
0.02905,0.000410935,0.00400353
0.0291,0.000408715,0.004055502
0.02915,0.000406471,0.004107469
0.0292,0.000404201,0.004159428
0.02925,0.000401907,0.004211376
0.0293,0.000399588,0.00426331
0.02935,0.000397244,0.004315229
0.0294,0.000394876,0.004367129
0.02945,0.000392482,0.004419008
