Freq_Hz,Cycles_in_Window,Re_Ydd,Im_Ydd,Mag_Ydd,Phase_Ydd_deg,Re_Yqd,Im_Yqd,Mag_Yqd,Phase_Yqd_deg,Re_Ydq,Im_Ydq,Mag_Ydq,Phase_Ydq_deg,Re_Yqq,Im_Yqq,Mag_Yqq,Phase_Yqq_deg,CondNum
1.25,25,-3.73109611486324,-1.51432315898886,4.02669254453299,-157.909464035038,11.004383924796,-1.12507173561092,11.0617472387764,-5.83755167962084,-4.25358184286407,-6.85856951597601,8.07049777271628,-121.806568176237,2.8252540223826,-7.69839956779665,8.20045219463175,-69.8472476808432,2.28679950161337
1.3,26,-3.74572908883728,-1.52610421893035,4.04468546292524,-157.832782542529,10.9492168929343,-1.17855408564173,11.0124629534587,-6.14356149627853,-4.54027213223752,-6.97272657284582,8.32063620731269,-123.070054835921,2.50197103683063,-7.9323569714489,8.3175805491521,-72.4940314938991,2.261764558772
1.35,27,-3.78271787349494,-1.52945030094409,4.08021724097088,-157.985247558089,10.8931772706412,-1.23571645657884,10.963042744178,-6.47193713236707,-4.83468180000063,-7.0660702475378,8.56174613326021,-124.380356636696,2.171484485087,-8.14787552682279,8.43227255664636,-75.0770017703346,2.23690442879358
1.4,28,-3.84243315827033,-1.53231419474205,4.13669909072237,-158.25850597227,10.838446832096,-1.29572981648365,10.9156239166387,-6.81732107754266,-5.13659040799297,-7.14122692405408,8.7966859100641,-125.726966811085,1.83615665926903,-8.34507119805067,8.54468750615918,-77.5910032355592,2.21245892513326
1.45,29,-3.92237608176053,-1.54232495721475,4.21471237457724,-158.534657272903,10.7868639120413,-1.3572033773762,10.8719103226829,-7.17127223797843,-5.44498098193502,-7.20107359665011,9.02791663884893,-127.094187928639,1.49819615852361,-8.52399654211437,8.65465821274258,-80.0313882963035,2.18869852253936
1.5,30,-4.01750793559058,-1.56586651059936,4.31187986167865,-158.706120528332,10.7397373065795,-1.418369345159,10.8329926157836,-7.52336674450137,-5.75805712470392,-7.24843017397134,9.2571573303197,-128.463164688864,1.15958953087521,-8.68464967301212,8.76172287983733,-82.3947505746288,2.16589847016569
1.55,31,-4.12083221290033,-1.60717959827293,4.42315321778273,-158.693552201184,10.6977181656373,-1.47719151749286,10.7992253764221,-7.86195478166554,-6.07332382743722,-7.28575587759806,9.48511997925548,-129.814205215554,0.822064166988603,-8.82698138802036,8.8651785046385,-84.6793433100852,2.14430655958879
1.6,32,-4.22418690147517,-1.6678098099476,4.54151346367617,-158.45471021069,10.6607999985777,-1.53160194351833,10.7702581734638,-8.17555365538427,-6.38775896266023,-7.31492065113274,9.7114122915987,-131.129107169718,0.487067686996477,-8.95094835920207,8.9641905078383,-86.8853102210256,2.12411891553409
1.65,33,-4.31933884133422,-1.74632305654226,4.65900549946763,-157.986352654169,10.6282621265913,-1.57974109854914,10.7450238608381,-8.45431192590163,-6.69808907679966,-7.33702021820461,9.93459928548133,-132.393479493805,0.155730904319414,-9.05656342774913,9.05790225357964,-89.0148753046148,2.1054483358828
1.7,34,-4.39905240365053,-1.83835388992459,4.76772556620705,-157.320062100873,10.5987732490937,-1.62012472016105,10.7218840925735,-8.69093820454839,-7.00108630885096,-7.35227241562918,10.1523947508754,-133.598413905893,-0.171123887889212,-9.14393386505905,9.14553497142622,-91.072135067877,2.08830629006051
1.75,35,-4.45812903416281,-1.93715053161977,4.86080926054501,-156.514043272893,10.5705564013148,-1.65187538010854,10.6988482980546,-8.88185463950988,-7.29388848695225,-7.360051401193,10.3620058815028,-134.741309844582,-0.492950386360602,-9.21332364190358,9.22650164547064,-93.0626376241907,2.07259868871739
1.8,36,-4.49423122165684,-2.03442885265885,4.93325602723455,-155.644897113426,10.5415854790839,-1.67483249963473,10.6738038353094,-9.02761911006821,-7.57430809262805,-7.3590364131398,10.5605662732624,-135.825890302828,-0.809436629010015,-9.26520367639839,9.30049390202098,-94.992858553583,2.05813027450976
1.85,37,-4.50829390075813,-2.12155437005859,4.9825401996098,-154.798831623144,10.5098683606639,-1.68961574158145,10.6448172512582,-9.13299176504288,-7.8410670382706,-7.34746253756526,10.7455822568895,-136.861372049869,-1.12044344188176,-9.30027977343262,9.36752888282581,-96.8695539127119,2.04462692955642
1.9,38,-4.50451765735261,-2.1907932023229,5.00901728692821,-154.063811943816,10.4736771697377,-1.69756768652359,10.610355767184,-9.20640805825206,-8.09391230313062,-7.32344176056749,10.9153202239418,-137.860932930069,-1.42592633316995,-9.31949075001156,9.4279464225874,-98.6990619691997,2.03176472596392
1.95,39,-4.48977894964785,-2.23646652764497,5.01596426880987,-153.521004085135,10.4318314556413,-1.70058268431031,10.5695358926058,-9.25883368594565,-8.33358866539499,-7.28532271086416,11.0690842911884,-138.839657941566,-1.72584517917055,-9.32399150195029,9.4823709646326,-100.486605632769,2.01921144124553
2,40,-4.47270651857544,-2.25589475219331,5.00940762309083,-153.235036357986,10.3838538259913,-1.70095043973159,10.5222456100386,-9.30284353326337,-8.56169753585065,-7.23201990887655,11.2073536866549,-139.812399510945,-2.02010382046955,-9.31511815660581,9.53164443928764,-102.23586309929,2.0066673953652
2.05,41,-4.46249938730183,-2.24979114458038,4.99754549513074,-153.244816750199,10.3300031839499,-1.70103542185024,10.4691206548977,-9.35094413694493,-8.78043716964307,-7.16324054617751,11.3317294360769,-140.791807897827,-2.30850410450836,-9.29430939588558,9.5767102048135,-103.948755419515,1.99389732085547
2.1,42,-4.46756610326278,-2.22225045904567,4.98974388017574,-153.553393795285,10.2713288925978,-1.70299945370082,10.4115514866527,-9.41407239568406,-8.99226148807872,-7.07961822646468,11.444726335849,-141.786599191152,-2.5907043115164,-9.26303299511732,9.61849931633526,-105.625353723672,1.98076484889571
2.15,43,-4.49438906365244,-2.18030930046806,4.99532598547744,-154.12113885781,10.2095318683239,-1.70860942224094,10.3515161753287,-9.50065357426825,-9.19954092794877,-6.98272160816659,11.5494568851596,-142.800434734382,-2.86622253354591,-9.22271520556699,9.65783140124132,-107.264126594033,1.96724970760134
2.2,44,-4.54659774444727,-2.13303420697467,5.02208980185909,-154.866400236175,10.1467690616676,-1.71899646216434,10.2913493395059,-9.61536450078468,-9.40423481162908,-6.87493551951528,11.649221896322,-143.831449697652,-3.13445131236285,-9.17466405395418,9.69532080606373,-108.862326100573,1.95345128794647
2.25,45,-4.6243590504439,-2.0904158618866,5.07489261985409,-155.674916703305,10.0854573753342,-1.73453258358267,10.2335259687555,-9.75846484296365,-9.60762643522881,-6.75925781606709,11.7470869556231,-144.872446272375,-3.3946942398034,-9.12002024534165,9.73132664425544,-110.41649541584,1.93958289834604
2.3,46,-4.72420682011396,-2.06210577630313,5.15464938787052,-156.418837779938,10.0280133319463,-1.75478090863394,10.1803883728962,-9.9255723531358,-9.81014342425373,-6.63900927188084,11.8454783827648,-145.911844228938,-3.64622483412817,-9.05970419683883,9.76592011411276,-111.92311921747,1.92594916490711
2.35,47,-4.83928457358384,-2.0561516117796,5.25798769823118,-156.979966964403,9.97659249243061,-1.77853191075173,10.1338824503536,-10.1079604338823,-10.0112581163454,-6.51750778311483,11.9458443307727,-146.935154120943,-3.88832825494632,-8.99438830273748,9.79888348530763,-113.379119156465,1.91291217952119
2.4,48,-4.96004613793369,-2.0778068345707,5.37767040011003,-157.27076252305,9.93280604049244,-1.80389165877555,10.0952791419873,-10.293270504529,-10.2095171901341,-6.39773643752996,12.0484552030433,-147.926916534317,-4.12037175469547,-8.92450834123108,9.82976665692504,-114.782379955122,1.90084344001091
2.45,49,-5.07528422326411,-2.12858610989678,5.50357963276258,-157.246708819463,9.89753986901825,-1.82844134104133,10.065013323212,-10.466644634845,-10.4026855543065,-6.2819998288379,12.1523408687914,-148.872956506626,-4.3418817903522,-8.85026792662187,9.85795008378435,-116.132257687679,1.89007387433267
2.5,50,-5.17354916778739,-2.20577899549097,5.62415077753635,-156.908684037815,9.87078978504076,-1.84955135797246,10.0425759248433,-10.6128043603765,-10.5879829224317,-6.17164242189025,12.2553887147402,-149.762465895893,-4.55259289519948,-8.77167215334909,9.88272909854665,-117.429801681663,1.88084317014296
2.55,51,-5.24479938718852,-2.30239335251128,5.72790849800704,-156.299199613175,9.85154366856085,-1.86467020583741,10.0264603739355,-10.7179778904844,-10.7624343065414,-6.06687145046589,12.3546315768257,-150.589691558916,-4.75249362309748,-8.68859631464959,9.90342877777817,-118.677803775012,1.87325121284571
2.6,52,-5.28195863621447,-2.4077489257449,5.80485503041258,-155.494416182081,9.83786675919636,-1.87165422550278,10.0143253348163,-10.7717917406245,-10.9232897399064,-5.96670692507898,12.4466802912154,-151.35499244906,-4.94185199810822,-8.60086901251784,9.9195185841701,-119.880636765129,1.86723089106128
2.65,53,-5.28228316190392,-2.508756529009,5.84776664414535,-154.595184521503,9.82707683407694,-1.86913557589534,10.0032548155053,-10.7691704099483,-11.0684654521855,-5.86909309420918,12.5282553140778,-152.0650699807,-5.1212245200501,-8.50836788264899,9.93072326727793,-121.043922318715,1.86254105178291
2.7,54,-5.24820952985799,-2.59165696532114,5.85323748836401,-153.719040500396,9.81602487267161,-1.85677965044995,9.99009384196328,-10.7113978545198,-11.1969089903423,-5.77116156149606,12.5967089633324,-152.732311001485,-5.29141318164086,-8.41108523421662,9.93707241978741,-122.173995366607,1.85878220359885
2.75,55,-5.18744572766801,-2.64403894916048,5.82241660671741,-152.992079581359,9.80148148239408,-1.83540517844701,9.97184794402643,-10.6062563970251,-11.3088329523204,-5.66967472486123,12.6504906714806,-153.373137928386,-5.45336834846447,-8.3092224090069,9.93893371475917,-123.277014130216,1.85543640186427
2.8,56,-5.11222953724361,-2.65681964865966,5.76138711483355,-152.539153524622,9.78059949813949,-1.80695489797786,9.94611545008063,-10.4673060787424,-11.405820508718,-5.56153231942772,12.6894989348332,-154.005917092832,-5.60812654641799,-8.20325213945835,9.93702314700766,-124.358336449527,1.85192758067421
2.85,57,-5.03788743223415,-2.62587857637957,5.68115728331402,-152.470296893796,9.75131169560077,-1.77437023397287,9.91143125446418,-10.3128344448836,-11.4906935390582,-5.44423557668505,12.715177506547,-154.648629889184,-5.75670558255953,-8.09388826330709,9.93230518979216,-125.421999531999,1.84769162959237
2.9,58,-4.98091478511252,-2.55297495734611,5.59707005757378,-152.862527028758,9.71258230991311,-1.74124720282274,9.86743112203856,-10.1638700646069,-11.5671875698885,-5.31632747475346,12.7304032181154,-155.316291814602,-5.89997016603492,-7.98207136471751,9.92588087937516,-126.470062001138,1.84224280322086
2.95,59,-4.95673368000427,-2.4459110335612,5.52735828028047,-153.735864220578,9.66465968054079,-1.71140137882468,9.81501611919786,-10.0417432822098,-11.6395435870297,-5.17768400574655,12.7392066698727,-156.018796259577,-6.0385686360328,-7.86892580129472,9.91888624989524,-127.502426577825,1.83524321636194
3,60,-4.97759530921827,-2.31802610834647,5.49087425655766,-155.028983133276,9.60911524990484,-1.68851566380222,9.75634055539572,-9.96627891287048,-11.7120137224919,-5.02962624864184,12.746309490863,-156.759300674854,-6.1728779745505,-7.75566739338691,9.91235588573855,-128.516925606643,1.82655767149963
3.05,61,-5.05080506388218,-2.18695033650593,5.50394254763631,-156.587849395906,9.54870737107505,-1.67568898679978,9.69462459504777,-9.95340435127109,-11.7883662992372,-4.87487166609277,12.7565651241181,-157.533319199157,-6.30297936407902,-7.64350582810653,9.90710503670494,-129.509636381079,1.81628727198476
3.1,62,-5.17729752627515,-2.07286500829504,5.57684310503611,-158.180027539474,9.48721804525286,-1.67503905900917,9.63395360625002,-10.0128064310758,-11.871403087389,-4.71733237793502,12.774327224053,-158.328641024732,-6.42863814639028,-7.53353823756496,9.90361483469937,-130.475314484302,1.80479022904002
3.15,63,-5.35074656682251,-1.99641412824414,5.71105578626367,-159.538979521184,9.42916314325686,-1.68739450663278,9.57895703107432,-10.1459599762549,-11.9625523823082,-4.56183600170337,12.8028515263556,-159.125998434464,-6.54931712274472,-7.42669083327668,9.90198422071825,-131.407849130182,1.79267734669491
3.2,64,-5.55725370011094,-1.97633656171135,5.89821794210369,-160.422992167135,9.37942541564119,-1.71206204899887,9.53439969726453,-10.3445306313253,-12.0615902984253,-4.41368099045339,12.8437743834341,-159.900981367873,-6.66426610250842,-7.32361985500668,9.90191145515303,-132.301218764336,1.78077928627821
3.25,65,-5.77578685032922,-2.02684369395103,6.1210954166836,-160.662967303145,9.34271887270949,-1.74666883550348,9.50459088837606,-10.5894915236437,-12.1663930041707,-4.27807976235906,12.8966307687333,-160.626749934059,-6.77256049171551,-7.22460229314782,9.90264883291852,-133.150261666223,1.77007721566821
3.3,66,-5.9793353814416,-2.1548548632129,6.35577305174371,-160.181665154178,9.3230637079569,-1.78702244798683,9.49278495133182,-10.8507086979581,-12.2728650428104,-4.15955603216362,12.9585926220306,-161.277299121077,-6.87319171570023,-7.12949842160704,9.90305569531281,-133.951369155476,1.76160306636862
3.35,67,-6.1370766097005,-2.3575914192271,6.57434001351818,-158.985448967959,9.32324070881243,-1.82733327037957,9.50062967363182,-11.0892658781221,-12.3750754375791,-4.06123488929671,13.0244432092821,-161.831271148367,-6.96521127732496,-7.03770773062433,9.90169168574059,-134.70336872691,1.75631576040279
3.4,68,-6.21781536835836,-2.62065907225182,6.74752413318909,-157.145751440841,9.34400801583289,-1.8606038448456,9.52745152007627,-11.2615905003589,-12.4656338867406,-3.98413399661731,13.086838881153,-162.275630636728,-7.04788691590175,-6.94816290896733,9.89695295476787,-135.408234330124,1.75494317009098
3.45,69,-6.19417085516835,-2.91713561343669,6.84670963092474,-154.781978384753,9.38357253050382,-1.87910056510383,9.56987211873802,-11.3239406313733,-12.536351094724,-3.92654472672937,13.1368889871687,-162.608779728467,-7.12087143512061,-6.85936673248523,9.88725047554889,-136.071610404407,1.75783504003991
3.5,70,-6.04717980347256,-3.20852963914267,6.84565891794087,-152.050347070037,9.43736249102857,-1.87528229759293,9.6218758297298,-11.2387526058623,-12.5791020334054,-3.88364805606192,13.16497361145,-162.842549895914,-7.18433370690271,-6.76950918996784,9.87121600843571,-136.702806616718,1.7648634273182
3.55,71,-5.77066217309004,-3.44749994016557,6.72203821421552,-149.145126920362,9.49793372572674,-1.84283362217599,9.67505973197684,-10.9803649060003,-12.5867891438842,-3.84752770860102,13.1617145699584,-163.002663961303,-7.23907363111558,-6.67665178577148,9.84793714973641,-137.314422592627,1.77536658977215
3.6,72,-5.37407036614794,-3.58189241603201,6.45837329211754,-146.315993938921,9.55527068695331,-1.77747130976221,9.71918731983168,-10.5377147047513,-12.5541625862337,-3.80752881969551,13.1188518535123,-163.128070866228,-7.28656344290321,-6.57890353364971,9.81712679517394,-137.921702959809,1.78815827575827
3.65,73,-4.88297701574096,-3.5589312783432,6.04230555170988,-143.913766604719,9.59742093317254,-1.67733846636444,9.74289242983029,-9.91344239993651,-12.4781050042174,-3.75078244763557,13.0296382707183,-163.269794386702,-7.328913604915,-6.4745396589206,9.77919416021811,-138.541842078792,1.80159839586394
3.7,74,-4.33699681568638,-3.32752117300042,5.46643746292225,-142.503106067715,9.61111852609215,-1.54292367624164,9.73417756121691,-9.12017859161838,-12.35692557364,-3.66245308324835,12.8882571443727,-163.4907717849,-7.36877915657311,-6.36192604813321,9.73514300358562,-139.193911871664,1.81369189269749
3.75,75,-3.78606154897697,-2.83474071658743,4.72969523150494,-143.176673093681,9.58119606490133,-1.3760262082981,9.67950237150671,-8.17278461822112,-12.1880404773649,-3.52480201651302,12.6874962042752,-163.870040989212,-7.40929031985624,-6.23918713294614,9.6863325941161,-139.900066322978,1.82212440462471
3.8,76,-3.28577319486919,-2.00808337134347,3.85080567081579,-148.569026874812,9.48758576712134,-1.17643911701407,9.5602454301406,-7.06846713637238,-11.962477818274,-3.31238070834575,12.4126041389275,-164.522720663535,-7.45457084193414,-6.10306838130342,9.63421351768167,-140.692761580078,1.8241736862156
4.3,86,-4.71072593015173,-0.660645978368478,4.75682582167335,-172.016739102999,9.13141469666872,-1.03964167251101,9.19040745395758,-6.49534432197336,-12.8922040399781,-2.31753993623207,13.0988517193095,-169.809185528739,-7.86835010274231,-5.32508362054814,9.50091831904448,-145.910935596043,1.74887687341446
4.35,87,-5.58640941784927,-0.516656124473619,5.61024988167114,-174.716061059067,8.98273296218602,-1.1394710718587,9.05471621827797,-7.2294304766397,-12.9720519700935,-2.11827836537891,13.1438668415363,-170.725710356647,-7.92411682324188,-5.25402360874152,9.50770169439483,-146.453943509155,1.70864443219171
4.4,88,-6.38425101961002,-0.64997258916875,6.41725217270307,-174.186817917964,8.88648801084609,-1.26297810354929,8.97578870389429,-8.08889991564398,-13.0789249282179,-1.97131698524718,13.226653693746,-171.428630372714,-7.97350589882378,-5.19419675033491,9.51611665543079,-146.918492485862,1.67651955022338
4.45,89,-7.04338894459985,-1.01646033145769,7.11635576895495,-171.788106479481,8.84319668139878,-1.39642718387068,8.95277255523424,-8.97346718669333,-13.195081518728,-1.8755860372031,13.3277154557272,-171.910011037406,-8.01479845183748,-5.14326312437548,9.52313760218433,-147.310865227705,1.65393122266466
4.5,90,-7.50847878539824,-1.55676370567892,7.66816581107207,-168.286592223968,8.85106050960856,-1.52473312724971,8.98142991143865,-9.77416033703626,-13.3040909789266,-1.82719284579072,13.42897875757,-172.179882902175,-8.04677159090079,-5.09863497469915,9.52610159726178,-147.64063434555,1.64187637512974
4.55,91,-7.74061382325351,-2.19537195892343,8.04591575886615,-164.165746381373,8.90428126860834,-1.63308275720361,9.05279979908786,-10.3927871782824,-13.3914819408788,-1.81825397742156,13.5143566661271,-172.267840073623,-8.06891041831117,-5.0573958443664,9.52284453644735,-147.921519508742,1.64042753207738
4.6,92,-7.72649729313484,-2.84614622874885,8.234033566621,-159.778131265516,8.99251042382061,-1.70876574749093,9.15342144240724,-10.7591279069152,-13.4462592611655,-1.83690496758048,13.571149839951,-172.220928468037,-8.08164206164627,-5.01655332868935,9.51203162905561,-148.170702288904,1.64850730830727
