Domain, Ia
0.02555,0.005775767
0.0256,0.005798297
0.02565,0.00582087
0.0257,0.005843487
0.02575,0.005866147
0.0258,0.00588885
0.02585,0.005911597
0.0259,0.005934387
0.02595,0.00595722
0.026,0.005980096
0.02605,0.006003015
0.0261,0.006025978
0.02615,0.006048984
0.0262,0.006072033
0.02625,0.006095126
0.0263,0.006118261
0.02635,0.00614144
0.0264,0.006164662
0.02645,0.006187928
0.0265,0.006211236
0.02655,0.006234588
0.0266,0.006257983
0.02665,0.006281421
0.0267,0.006304902
0.02675,0.006328427
0.0268,0.006351994
0.02685,0.006375605
0.0269,0.006399259
0.02695,0.006422956
0.027,0.006446697
0.02705,0.00647048
0.0271,0.006494307
0.02715,0.006518177
0.0272,0.00654209
0.02725,0.006566046
0.0273,0.006590045
0.02735,0.006614087
0.0274,0.006638173
0.02745,0.006662301
0.0275,0.006686473
0.02755,0.006710688
0.0276,0.006734945
0.02765,0.006759246
0.0277,0.00678359
0.02775,0.006807978
0.0278,0.006832408
0.02785,0.006856881
0.0279,0.006881398
0.02795,0.006905957
0.028,0.00693056
0.02805,0.006955205
0.0281,0.006979894
0.02815,0.007004625
0.0282,0.0070294
0.02825,0.007054218
0.0283,0.007079079
0.02835,0.007103983
0.0284,0.007128929
0.02845,0.007153919
0.0285,0.007178952
0.02855,0.007204028
0.0286,0.007229147
0.02865,0.007254309
0.0287,0.007279514
0.02875,0.007304762
0.0288,0.007330053
0.02885,0.007355386
0.0289,0.007380763
0.02895,0.007406183
0.029,0.007431646
0.02905,0.007457152
0.0291,0.0074827
0.02915,0.007508292
0.0292,0.007533926
0.02925,0.007559604
0.0293,0.007585324
0.02935,0.007611088
0.0294,0.007636894
0.02945,0.007662743
0.0295,0.007688635
0.02955,0.00771457
0.0296,0.007740548
0.02965,0.007766569
0.0297,0.007792633
0.02975,0.00781874
0.0298,0.007844889
0.02985,0.007871082
0.0299,0.007897317
0.02995,0.007923595
0.03,0.007949916
0.03005,0.00797628
0.0301,0.008002686
0.03015,0.008029136
0.0302,0.008055628
0.03025,0.008082164
0.0303,0.008108742
0.03035,0.008135363
0.0304,0.008162026
0.03045,0.008188733
0.0305,0.008215482
0.03055,0.008242274
0.0306,0.008269109
0.03065,0.008295987
0.0307,0.008322907
0.03075,0.008349871
0.0308,0.008376877
0.03085,0.008403926
0.0309,0.008431017
0.03095,0.008458152
0.031,0.008485329
0.03105,0.008512549
0.0311,0.008539811
0.03115,0.008567117
0.0312,0.008594465
0.03125,0.008621856
0.0313,0.008649289
0.03135,0.008676765
0.0314,0.008704284
0.03145,0.008731846
0.0315,0.008759451
0.03155,0.008787098
0.0316,0.008814787
0.03165,0.00884252
0.0317,0.008870295
0.03175,0.008898113
0.0318,0.008925973
0.03185,0.008953877
0.0319,0.008981822
0.03195,0.009009811
0.032,0.009037842
0.03205,0.009065916
0.0321,0.009094032
0.03215,0.009122191
0.0322,0.009150393
0.03225,0.009178637
0.0323,0.009206924
0.03235,0.009235254
0.0324,0.009263626
0.03245,0.00929204
0.0325,0.009320498
0.03255,0.009348998
0.0326,0.00937754
0.03265,0.009406125
0.0327,0.009434753
0.03275,0.009463423
0.0328,0.009492136
0.03285,0.009520891
0.0329,0.009549689
0.03295,0.009578529
0.033,0.009607412
0.03305,0.009636337
0.0331,0.009665305
0.03315,0.009694316
0.0332,0.009723369
0.03325,0.009752464
0.0333,0.009781602
0.03335,0.009810783
0.0334,0.009840006
0.03345,0.009869271
0.0335,0.009898579
0.03355,0.009927929
0.0336,0.009957322
0.03365,0.009986758
0.0337,0.010016235
0.03375,0.010045756
0.0338,0.010075318
0.03385,0.010104923
0.0339,0.010134571
0.03395,0.010164261
0.034,0.010193993
0.03405,0.010223768
0.0341,0.010253585
0.03415,0.010283445
0.0342,0.010313347
0.03425,0.010343291
0.0343,0.010373278
0.03435,0.010403307
0.0344,0.010433379
0.03445,0.010463492
0.0345,0.010493649
0.03455,0.010523847
0.0346,0.010554088
0.03465,0.010584372
0.0347,0.010614697
0.03475,0.010645065
0.0348,0.010675475
0.03485,0.010705928
0.0349,0.010736423
0.03495,0.01076696
0.035,0.01079754
0.03505,0.010828161
0.0351,0.010858825
0.03515,0.010889532
0.0352,0.01092028
0.03525,0.010951071
0.0353,0.010981905
0.03535,0.01101278
0.0354,0.011043698
0.03545,0.011074658
0.0355,0.01110566
0.03555,0.011136704
0.0356,0.011167791
0.03565,0.01119892
0.0357,0.011230091
0.03575,0.011261304
0.0358,0.011292559
0.03585,0.011323857
0.0359,0.011355197
0.03595,0.011386579
0.036,0.011418003
0.03605,0.011449469
0.0361,0.011480978
0.03615,0.011512529
0.0362,0.011544122
0.03625,0.011575757
0.0363,0.011607434
0.03635,0.011639153
0.0364,0.011670914
0.03645,0.011702718
0.0365,0.011734563
0.03655,0.011766451
0.0366,0.011798381
0.03665,0.011830353
0.0367,0.011862367
0.03675,0.011894423
0.0368,0.011926521
0.03685,0.011958661
0.0369,0.011990844
0.03695,0.012023068
0.037,0.012055335
0.03705,0.012087643
0.0371,0.012119993
0.03715,0.012152386
0.0372,0.012184821
0.03725,0.012217297
0.0373,0.012249816
0.03735,0.012282376
0.0374,0.012314979
0.03745,0.012347623
0.0375,0.01238031
0.03755,0.012413039
0.0376,0.012445809
0.03765,0.012478622
0.0377,0.012511476
0.03775,0.012544372
0.0378,0.012577311
0.03785,0.012610291
0.0379,0.012643313
0.03795,0.012676377
0.038,0.012709483
0.03805,0.012742631
0.0381,0.012775821
0.03815,0.012809053
0.0382,0.012842327
0.03825,0.012875642
0.0383,0.012909
0.03835,0.012942399
0.0384,0.01297584
0.03845,0.013009323
0.0385,0.013042848
0.03855,0.013076415
0.0386,0.013110024
0.03865,0.013143674
0.0387,0.013177366
0.03875,0.0132111
0.0388,0.013244876
0.03885,0.013278694
0.0389,0.013312553
0.03895,0.013346455
0.039,0.013380398
0.03905,0.013414383
0.0391,0.013448409
0.03915,0.013482478
0.0392,0.013516588
0.03925,0.01355074
0.0393,0.013584933
0.03935,0.013619169
0.0394,0.013653446
0.03945,0.013687765
0.0395,0.013722125
0.03955,0.013756528
0.0396,0.013790972
0.03965,0.013825457
0.0397,0.013859985
0.03975,0.013894554
0.0398,0.013929165
0.03985,0.013963817
0.0399,0.013998511
0.03995,0.014033247
0.04,0.014068024
0.04005,0.014102844
0.0401,0.014137704
0.04015,0.014172607
0.0402,0.01420755
0.04025,0.014242536
0.0403,0.014277563
0.04035,0.014312632
0.0404,0.014347742
0.04045,0.014382894
0.0405,0.014418088
0.04055,0.014453323
0.0406,0.0144886
0.04065,0.014523918
0.0407,0.014559278
0.04075,0.014594679
0.0408,0.014630122
0.04085,0.014665606
0.0409,0.014701132
0.04095,0.0147367
0.041,0.014772309
0.04105,0.014807959
0.0411,0.014843651
0.04115,0.014879385
0.0412,0.01491516
0.04125,0.014950976
0.0413,0.014986834
0.04135,0.015022733
0.0414,0.015058674
0.04145,0.015094657
0.0415,0.01513068
0.04155,0.015166745
0.0416,0.015202852
0.04165,0.015239
0.0417,0.015275189
0.04175,0.01531142
0.0418,0.015347692
0.04185,0.015384006
0.0419,0.015420361
0.04195,0.015456757
0.042,0.015493195
0.04205,0.015529674
0.0421,0.015566195
0.04215,0.015602756
0.0422,0.015639359
0.04225,0.015676004
0.0423,0.01571269
0.04235,0.015749417
0.0424,0.015786185
0.04245,0.015822995
0.0425,0.015859846
0.04255,0.015896738
0.0426,0.015933672
0.04265,0.015970647
0.0427,0.016007663
0.04275,0.01604472
0.0428,0.016081819
0.04285,0.016118959
0.0429,0.01615614
0.04295,0.016193362
0.043,0.016230626
0.04305,0.016267931
0.0431,0.016305277
0.04315,0.016342664
0.0432,0.016380092
0.04325,0.016417562
0.0433,0.016455072
0.04335,0.016492624
0.0434,0.016530217
0.04345,0.016567852
0.0435,0.016605527
0.04355,0.016643244
0.0436,0.016681001
0.04365,0.0167188
0.0437,0.01675664
0.04375,0.016794521
0.0438,0.016832443
0.04385,0.016870406
0.0439,0.016908411
0.04395,0.016946456
0.044,0.016984542
0.04405,0.01702267
0.0441,0.017060839
0.04415,0.017099048
0.0442,0.017137299
0.04425,0.017175591
0.0443,0.017213923
0.04435,0.017252297
0.0444,0.017290712
0.04445,0.017329168
0.0445,0.017367664
0.04455,0.017406202
0.0446,0.017444781
0.04465,0.017483401
0.0447,0.017522061
0.04475,0.017560763
0.0448,0.017599506
0.04485,0.017638289
0.0449,0.017677114
0.04495,0.017715979
0.045,0.017754885
0.04505,0.017793832
0.0451,0.017832821
0.04515,0.01787185
0.0452,0.01791092
0.04525,0.01795003
0.0453,0.017989182
0.04535,0.018028375
0.0454,0.018067608
0.04545,0.018106882
0.0455,0.018146197
0.04555,0.018185553
0.0456,0.01822495
0.04565,0.018264388
0.0457,0.018303866
0.04575,0.018343385
0.0458,0.018382945
0.04585,0.018422546
0.0459,0.018462187
0.04595,0.01850187
0.046,0.018541593
0.04605,0.018581357
0.0461,0.018621161
0.04615,0.018661007
0.0462,0.018700893
0.04625,0.01874082
0.0463,0.018780787
0.04635,0.018820795
0.0464,0.018860844
0.04645,0.018900934
0.0465,0.018941064
0.04655,0.018981235
0.0466,0.019021447
0.04665,0.019061699
0.0467,0.019101992
0.04675,0.019142325
0.0468,0.0191827
0.04685,0.019223115
0.0469,0.01926357
0.04695,0.019304066
0.047,0.019344603
0.04705,0.01938518
0.0471,0.019425798
0.04715,0.019466456
0.0472,0.019507155
0.04725,0.019547895
0.0473,0.019588675
0.04735,0.019629496
0.0474,0.019670357
0.04745,0.019711259
0.0475,0.019752201
0.04755,0.019793184
0.0476,0.019834207
0.04765,0.019875271
0.0477,0.019916376
0.04775,0.01995752
0.0478,0.019998706
0.04785,0.020039931
0.0479,0.020081197
0.04795,0.020122504
0.048,0.020163851
0.04805,0.020205239
0.0481,0.020246667
0.04815,0.020288135
0.0482,0.020329644
0.04825,0.020371193
0.0483,0.020412782
0.04835,0.020454412
0.0484,0.020496083
0.04845,0.020537793
0.0485,0.020579544
0.04855,0.020621336
0.0486,0.020663168
0.04865,0.02070504
0.0487,0.020746952
0.04875,0.020788905
0.0488,0.020830898
0.04885,0.020872931
0.0489,0.020915005
0.04895,0.020957119
0.049,0.020999273
0.04905,0.021041467
0.0491,0.021083702
0.04915,0.021125977
0.0492,0.021168292
0.04925,0.021210648
0.0493,0.021253043
0.04935,0.021295479
0.0494,0.021337955
0.04945,0.021380471
0.0495,0.021423028
0.04955,0.021465625
0.0496,0.021508261
0.04965,0.021550938
0.0497,0.021593655
0.04975,0.021636413
0.0498,0.02167921
0.04985,0.021722048
0.0499,0.021764925
0.04995,0.021807843
0.05,0.021850801
0.05005,0.021893799
0.0501,0.021936837
0.05015,0.021979916
0.0502,0.022023034
0.05025,0.022066192
0.0503,0.02210939
0.05035,0.022152629
0.0504,0.022195907
0.05045,0.022239226
0.0505,0.022282584
0.05055,0.022325983
0.0506,0.022369421
0.05065,0.0224129
0.0507,0.022456418
0.05075,0.022499977
0.0508,0.022543575
0.05085,0.022587214
0.0509,0.022630892
0.05095,0.02267461
0.051,0.022718369
0.05105,0.022762167
0.0511,0.022806005
0.05115,0.022849883
0.0512,0.022893801
0.05125,0.022937758
0.0513,0.022981756
0.05135,0.023025794
0.0514,0.023069871
0.05145,0.023113988
0.0515,0.023158145
0.05155,0.023202342
0.0516,0.023246579
0.05165,0.023290856
0.0517,0.023335172
0.05175,0.023379528
0.0518,0.023423924
0.05185,0.02346836
0.0519,0.023512836
0.05195,0.023557351
0.052,0.023601906
0.05205,0.023646501
0.0521,0.023691135
0.05215,0.02373581
0.0522,0.023780524
0.05225,0.023825277
0.0523,0.023870071
0.05235,0.023914904
0.0524,0.023959777
0.05245,0.024004689
0.0525,0.024049641
0.05255,0.024094633
0.0526,0.024139665
0.05265,0.024184736
0.0527,0.024229846
0.05275,0.024274997
0.0528,0.024320187
0.05285,0.024365416
0.0529,0.024410686
0.05295,0.024455994
0.053,0.024501343
0.05305,0.024546731
0.0531,0.024592158
0.05315,0.024637625
0.0532,0.024683132
0.05325,0.024728678
0.0533,0.024774263
0.05335,0.024819889
0.0534,0.024865553
0.05345,0.024911257
0.0535,0.024957001
0.05355,0.025002784
0.0536,0.025048607
0.05365,0.025094469
0.0537,0.02514037
0.05375,0.025186311
0.0538,0.025232292
0.05385,0.025278311
0.0539,0.025324371
0.05395,0.025370469
0.054,0.025416607
0.05405,0.025462785
0.0541,0.025509002
0.05415,0.025555258
0.0542,0.025601553
0.05425,0.025647888
0.0543,0.025694262
0.05435,0.025740676
0.0544,0.025787129
0.05445,0.025833621
0.0545,0.025880152
0.05455,0.025926723
0.0546,0.025973333
